Design,NumShares,Latency,Area GE
new,2,85,31368.0
new,3,85,71374.66666666666
new,4,85,128467.66666666667
new,5,85,201770.3333333333
smaesh,2,105,35839.33333333333
smaesh,3,105,74333.66666666667
smaesh,4,105,127577.33333333333
smaesh,5,105,195435.66666666666
